id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,price_per_sqm,price_per_room,flat_cat,cat,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc,supermarketsnearby,leisurelocationsnearby,othershopsnearby,smallestdistancetonextoev,distancetomainstation,altitude,distancetonightclubs
3001447249,1504.05.0302,rent,2021-10-25 20:58:48,,3,1595,295.0,1300.0,,93,1960.0,Burenbüchelstr. 11,St. Gallen,9016,47.4361267089844,9.41000270843506,POINT (9.410002708435059 47.436126708984375),1076653,0.0,17.150537634408604,319.0,L,c,1076653,True,,,,,,,,True,307,Osten,Neudorf,Achslen-Wilen,2,2,3,1264.5434784045763,3386.1223782831967,661,2700.6743780624647
3001452012,00240.01.0005,rent,2021-10-27 19:33:36,,1,1395,220.0,1175.0,,82,1952.0,Rosenbergweg 19,St. Gallen,9000,47.4218940734863,9.36297130584717,POINT (9.362971305847168 47.42189407348633),1071126,0.0,17.01219512195122,348.75,M,c,1071126,False,65.0,58.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,202,Centrum,Rosenberg,Rosenberg-Kreubleiche,0,7,7,450.42702979782985,508.19633015175845,679,1184.5390635755637
3001454132,0001.10.2021.907392.9f79a977-37eb-11ec-842e-005056bdbc06,rent,2021-10-28 15:30:38,,-1,1200,120.0,1080.0,,40,,Langgasse 46,St. Gallen,9008,47.4370613098145,9.38827133178711,POINT (9.38827133178711 47.43706130981445),1074938,0.272727272727273,30.0,600.0,S,e,1074938,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz,3,6,2,482.3170709549848,2109.7122484806173,668,1466.5259080493006
3001454155,1032.10.2021.907403.d487597b-37ed-11ec-842e-005056bdbc06,rent,2021-10-28 15:30:46,,,1360,120.0,1240.0,,38,,Langgasse 46,St. Gallen,9008,47.4370613098145,9.38827133178711,POINT (9.38827133178711 47.43706130981445),1074938,0.266666666666667,35.78947368421053,1360.0,S,f,1074938,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz,3,6,2,482.3170709549848,2109.7122484806173,668,1466.5259080493006
3001418253,47958680,rent,2021-10-13 16:01:54,,,1900,,,,125,,Oberstrasse 218,St. Gallen,9000,47.4120750427246,9.34844779968262,POINT (9.348447799682617 47.41207504272461),1069742,0.0416666666666667,15.2,380.0,L,c,1069742,True,57.0,43.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,111,Westen,Bruggen,Haggen-Oberstrasse-Langweid,0,2,4,914.8837325335951,1999.6898012013319,702,2684.8312739083117
3001419783,1506.02.2011,rent,2021-10-13 21:33:33,,1,1490,170.0,1320.0,,66,,Hagenbuchstrasse 31a,St. Gallen,9000,47.4298248291016,9.40028095245361,POINT (9.400280952453613 47.42982482910156),1075722,0.0571428571428572,22.57575757575757,496.6666666666667,M,d,1075722,True,,,,,,,,True,303,Osten,St.Fiden,St.Fiden-Krontal,2,7,6,578.557896947467,2442.8271995979485,698,1776.4365982147556
3001454176,485.ecoreal.62600-10403,rent,2021-10-28 15:31:09,,4,1221,121.0,1100.0,,87,,Langgasse 41,St. Gallen,9000,,,POINT(9.37481799212038 47.4245453731374),2363677,0.16,14.03448275862069,407.0,M,c,2363677,False,,,,,,,,True,206,Centrum,Innenstadt,Altstadt,0,0,0,,,,
3001457002,5698.01.0402,rent,2021-10-29 17:17:00,,4,850,150.0,700.0,,30,1920.0,Linsebühlstrasse 66,St. Gallen,9000,47.4248428344727,9.38330936431885,POINT (9.383309364318848 47.424842834472656),2363560,0.0625,28.33333333333333,425.0,S,c,2363560,False,58.0,44.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,208,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden,3,9,56,303.1385680942684,1061.3766869350734,690,470.76038272556946
3001457010,3644.03.0502,rent,2021-10-29 17:17:23,,5,1300,200.0,1100.0,,43,1919.0,Linsebühlstrasse 16,St. Gallen,9000,47.4243240356445,9.38075637817383,POINT (9.380756378173828 47.42432403564453),1073522,0.0,30.232558139534884,650.0,S,e,1073522,True,66.0,55.0,ES III,Wohnen,">IGW, <AW",">PW, ≤IGW",">IGW, <AW",False,208,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden,4,10,229,500.34602397326455,861.4340715251592,679,325.645115650709
3001457042,00241.01.0022,rent,2021-10-29 17:17:31,,4,1390,240.0,1150.0,,71,1957.0,Vonwilstrasse 51,St. Gallen,9000,47.4194450378418,9.35537147521973,POINT (9.355371475219727 47.4194450378418),1070279,0.0,19.5774647887324,463.3333333333333,M,d,1070279,False,60.0,52.0,ES III,Wohnen,≤PW,">PW, ≤IGW",">PW, ≤IGW",False,113,Westen,Lachen,Vonwil-Lachen-Schoren,2,11,13,1067.9764617145076,1137.3132119500058,672,1819.128657822651
3001456554,0015525.01.908195.f7b0a03e-38b4-11ec-842e-005056bdbc06,rent,2021-10-29 17:17:37,,4,1500,280.0,1220.0,,82,,Rorschacher Strasse 155,St. Gallen,9000,47.4317054748535,9.39577102661133,POINT (9.395771026611328 47.431705474853516),1076141,0.490909090909091,18.29268292682927,750.0,S,f,1076141,False,62.0,55.0,ES III,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,303,Osten,St.Fiden,St.Fiden-Krontal,2,8,8,356.4565079202492,2205.5790897873376,667,1519.9214426539097
3001457039,00913.02.0012,rent,2021-10-29 17:17:40,,3,1570,230.0,1340.0,,84,1984.0,Feldbachstrasse 4,St. Gallen,9000,47.4211158752441,9.35555934906006,POINT (9.355559349060059 47.42111587524414),1070842,0.0,18.69047619047619,523.3333333333334,M,d,1070842,True,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren,2,7,11,1015.6904932473338,1073.0703969731067,680,1737.887067750628
3001421370,47963593,rent,2021-10-14 22:08:57,,,1340,,,,80,,Iddastrasse,St. Gallen,9008,47.4354095458984,9.38514137268066,POINT (9.385141372680664 47.43540954589844),1075248,0.0256410256410255,16.75,446.6666666666667,M,c,1075248,False,58.0,48.0,ES II,Wohnen,">PW, ≤IGW",">PW, ≤IGW",">PW, ≤IGW",False,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz,2,4,2,632.5623000369483,1815.8628163997614,677,1185.6794859990712
3001457041,00241.01.0045,rent,2021-10-29 17:17:55,,8,2445,340.0,2105.0,,148,1957.0,Vonwilstrasse 51,St. Gallen,9000,47.4194450378418,9.35537147521973,POINT (9.355371475219727 47.4194450378418),1070279,0.0,16.52027027027027,611.25,M,e,1070279,False,60.0,52.0,ES III,Wohnen,≤PW,">PW, ≤IGW",">PW, ≤IGW",False,113,Westen,Lachen,Vonwil-Lachen-Schoren,2,11,13,1067.9764617145076,1137.3132119500058,672,1819.128657822651
